Week,Nothing,D0,D1,D2,D3,D4
4/8/14,17.48,18.93,23.12,12.86,20.52,7.08
4/1/14,15.4,17.8,24.75,14.7,22.94,4.42
3/25/14,14.73,17.84,25.58,16.87,21.49,3.48
3/18/14,15.24,20.56,31.02,19.12,12.66,1.41
3/11/14,15.44,21.76,28.41,22.94,9.96,1.49
3/4/14,8.95,23.9,35.78,22.86,7.45,1.07
2/25/14,7.38,24.74,34.33,24.1,8.52,0.93
2/18/14,11.96,29.84,30.72,18.94,7.82,0.71
2/11/14,12.49,33.08,31.46,14.64,7.62,0.71
2/4/14,14.95,33.37,29.34,14.4,7.24,0.71
1/28/14,19.3,31.33,26.74,15.49,6.35,0.79
1/21/14,23.26,31,24.15,14.92,5.89,0.79
1/14/14,26.18,29.28,22.95,14.92,5.89,0.79
1/7/14,28.13,27.97,23.06,15.02,5.03,0.79
12/31/13,28.48,27.68,22.69,15.33,5.03,0.79
12/24/13,28.3,25.79,23.46,15.65,6,0.79
12/17/13,25.8,27.4,24.07,16.02,5.54,1.17
12/10/13,25.73,29.39,24.06,15.13,4.74,0.96
12/3/13,24.58,28.03,26.1,15.46,4.88,0.96
11/26/13,23.81,29.02,25.94,15.57,4.7,0.96
11/19/13,18.91,30.49,26.15,17.57,6.11,0.78
11/12/13,20.35,29.61,26.49,17.31,5.82,0.43
11/5/13,20.07,29.43,26.88,18.18,4.94,0.49
10/29/13,14.17,27.33,36.1,18.15,4.03,0.23
10/22/13,13.16,24.81,39.27,18.57,3.96,0.23
10/15/13,9.1,25.65,43.52,18.53,3.07,0.12
10/8/13,6.6,22.93,45.06,21,4.3,0.12
10/1/13,6.62,22.43,45.87,21.08,3.89,0.12
9/24/13,6.62,13.78,31.06,40.53,7.74,0.28
9/17/13,5.3,8.4,22.24,38.99,23.43,1.65
9/10/13,4.14,8.75,21.52,43.81,19.17,2.62
9/3/13,4.14,8.77,22.46,45.89,15.8,2.94
8/27/13,2.82,9.3,21.76,46.79,16.6,2.74
8/20/13,2.82,8.26,22.05,49.07,15.22,2.58
8/13/13,2.82,9.28,21.98,45.28,16.81,3.84
8/6/13,1.72,9.9,20.69,41.89,19.56,6.24
7/30/13,2.83,9.48,22.34,39.39,20.32,5.65
7/23/13,0.62,6.85,25.12,39.11,21.96,6.35
7/16/13,0.3,5.32,23.38,37.56,21.37,12.07
7/9/13,0.58,7.62,16.58,40.52,22.5,12.2
7/2/13,1.23,11.64,18.46,36.04,20.43,12.2
6/25/13,4.99,11.01,23.42,30.48,18.83,11.27
6/18/13,4.76,10.42,26.34,29.05,17.6,11.83
6/11/13,5.44,10.39,24.73,27.09,17.51,14.85
6/4/13,4.66,7.96,27.79,26.47,16.65,16.47
5/28/13,3.49,8.24,27.93,27.89,16.43,16.02
5/21/13,2.84,7.46,22.61,31.72,17.36,18.02
5/14/13,2.84,6.61,21.85,32.62,24.04,12.05
5/7/13,1.45,6.42,19.31,32.24,27.69,12.88
4/30/13,1.45,6.56,18.26,37.31,26.33,10.09
4/23/13,1.45,6.33,22.18,31.99,26.12,11.93
4/16/13,1.29,7.41,19.01,37.48,22.62,12.19
4/9/13,0.44,10.12,20.09,39.44,18.34,11.56
4/2/13,1.4,10.39,22.77,32.49,21.14,11.81
3/26/13,1.4,11.34,25.24,32.28,19.2,10.54
3/19/13,3.64,11.34,25.5,31.22,18.43,9.88
3/12/13,11.53,11.68,22.76,30.63,14.84,8.57
3/5/13,11.15,12.56,20.67,31.76,16.45,7.41
2/26/13,11.29,13.6,25.26,27.83,16.85,5.17
2/19/13,12.01,14.41,24.52,23.26,17.91,7.89
2/12/13,10.84,13.54,25.58,25.22,17.04,7.79
2/5/13,9.52,13.23,24.62,28.92,15.93,7.79
1/29/13,10.38,13.46,24.95,29.08,15.55,6.57
1/22/13,9.48,16.51,23.52,29.27,14.51,6.72
1/15/13,9.48,16.51,23.52,29.65,14.13,6.72
1/8/13,4.29,11.92,17.93,31.06,23.38,11.41
1/1/13,3.04,9.96,21.61,30.35,23.07,11.96
12/25/12,4.54,7.15,24.18,29.65,24.16,10.32
12/18/12,4.54,7.15,24.18,30.18,24.06,9.89
12/11/12,5.91,6.37,22.68,32.82,23.77,8.45
12/4/12,6.16,11.64,22.93,31.87,18.95,8.45
11/27/12,6.16,13.32,26.05,29.97,16.87,7.63
11/20/12,8.65,15.51,26.75,26.03,15.4,7.66
11/13/12,10.54,19.87,32.6,18.07,12.79,6.12
11/6/12,15.44,24.65,26.35,16.57,12.3,4.68
10/30/12,15.36,26.78,26.24,15.38,12.56,3.67
10/23/12,14.09,24.34,30.3,15.57,12.5,3.2
10/16/12,17.08,20.45,31.21,15.46,12.61,3.2
